control,1472737593,1472737663,4-4,2-2,3-3,3-3,4-3,1-1,1-1,2-2,2-2,2-2,2-2,1-1,1-1,1-1,2-2,1-1,1-1,2-1,3-3,3-3,2-2,4-4,2-2,2-2,18-15-7-1-9-16-24-4-14-13-12-17-21-6-11-2-3-20-5-19-8-23-22-10
,1472738049,1472738307,4-4,2-2,3-3,4-3,3-3,1-3,4-4,4-4,4-4,4-4,1-1,3-3,1-1,2-2,1-1,2-2,1-4,4-4,4-4,2-3,2-2,3-3,3-3,4-4,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472738310,1472738346,1-3,1-1,4-4,4-4,1-1,4-4,2-2,2-2,4-4,4-4,2-2,4-4,1-4,3-3,1-1,2-1,1-1,3-3,4-4,1-1,4-4,4-4,2-2,3-3,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472738349,1472738379,2-2,1-1,1-1,4-4,4-4,3-3,1-1,1-1,1-1,3-3,2-2,1-1,3-2,3-3,3-3,3-2,1-1,1-1,1-1,1-1,1-1,4-4,3-3,4-4,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
control,1472738390,1472738421,4-4,2-2,1-1,2-2,1-1,3-4,2-2,4-4,2-2,2-2,1-1,4-4,1-1,1-1,1-1,4-4,3-3,1-1,2-2,2-2,3-3,2-2,2-2,3-3,18-21-13-3-17-15-22-11-9-5-14-6-20-19-12-23-1-10-8-4-7-2-24-16
,1472738467,1472738531,4-4,4-4,2-2,1-1,3-3,3-3,2-2,3-3,2-4,1-1,2-2,4-4,4-4,1-1,1-3,2-2,3-2,1-1,1-1,1-1,2-4,1-1,4-4,2-2,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472738535,1472738614,1-1,2-2,1-1,4-4,2-2,3-3,3-3,2-2,1-1,1-1,4-4,1-2,3-3,2-2,2-2,2-2,2-2,2-2,1-3,1-1,2-3,2-3,1-4,4-1,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472780604,1472780678,2-2,3-3,3-3,3-3,1-1,2-2,4-4,1-3,4-4,4-4,2-2,4-4,4-4,2-2,4-3,3-3,2-2,2-2,1-1,3-2,4-2,2-1,2-2,2-2,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472780688,1472780740,4-4,2-2,1-1,3-3,1-1,2-2,2-2,3-3,3-3,4-4,1-1,4-4,2-2,4-4,4-4,3-3,1-1,4-4,1-1,1-4,3-3,1-1,4-4,3-3,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
control,1472782408,1472782795,1-2,2-2,3-3,3-1,2-2,3-3,4-4,1-1,4-4,3-3,2-2,4-4,3-3,1-1,2-2,4-4,2-2,1-1,3-3,3-3,3-3,1-1,3-3,4-4,5-10-11-20-22-6-24-3-17-12-19-2-16-14-23-18-8-13-1-4-21-7-15-9
,1472782803,1472782856,1-1,2-2,4-4,1-1,2-2,3-3,2-2,1-1,2-2,2-2,3-3,2-2,2-2,3-3,2-2,1-1,4-4,4-1,1-1,2-2,2-4,4-4,3-3,1-1,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
control,1472783013,1472783115,3-3,1-1,2-2,3-3,2-2,2-2,1-1,4-4,4-4,1-1,1-1,3-3,2-2,3-3,2-2,1-1,2-2,1-3,2-2,4-4,4-4,4-4,3-3,3-3,4-17-16-7-14-15-1-20-9-22-21-13-3-5-11-23-10-6-18-12-19-24-8-2
,1472783127,1472783216,2-2,2-2,4-4,4-4,4-4,1-1,3-3,1-1,3-3,4-4,4-4,1-1,4-2,2-1,4-4,1-1,3-3,3-3,3-3,3-3,1-3,1-1,3-3,1-1,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
